OTU,Sample,Common,Gender,Abundance,Phylum,Class,Order,Family,Genus,Species
ASV1,S1,BHC,F,7477,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV3,S1,BHC,F,6338,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV4,S1,BHC,F,5699,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV7,S1,BHC,F,4903,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV2,S1,BHC,F,203,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV9,S1,BHC,F,167,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV10,S1,BHC,F,148,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV11,S1,BHC,F,120,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV12,S1,BHC,F,116,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV8,S1,BHC,F,83,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV76,S1,BHC,F,27,Arthropoda,Insecta,,,insect,
ASV79,S1,BHC,F,15,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV13,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV14,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV15,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV16,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV17,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV18,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV19,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV20,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV21,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV22,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV23,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV24,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV25,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV26,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV27,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV28,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV29,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV30,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV31,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV32,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV33,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV34,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV35,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV36,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,
ASV37,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV38,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,
ASV39,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV40,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV41,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,
ASV42,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV43,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV44,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV45,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV46,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV47,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV48,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV49,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV5,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV50,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV51,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV52,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV53,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV54,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV55,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,
ASV56,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,
ASV57,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV58,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV59,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,
ASV6,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV60,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV61,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV62,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV63,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV64,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV65,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV66,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV67,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV68,S1,BHC,F,0,Arthropoda,Insecta,,,insect,
ASV69,S1,BHC,F,0,Arthropoda,Insecta,,,insect,
ASV70,S1,BHC,F,0,Arthropoda,Insecta,,,insect,
ASV71,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV72,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV73,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV74,S1,BHC,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,
